transition,cout,cslew,dslew,ctoq,qslew,tsetup,thold
'01,20.0,100.0,100.0,38.85646,3.142511,23.78540039062501,32.110595703125014
'10,20.0,100.0,100.0,42.57288,3.3388769999999997,6.866455078125008,13.446044921875007
'01,20.0,100.0,150.0,38.85571,3.142227,36.407470703125014,37.884521484375014
'10,20.0,100.0,150.0,42.572849999999995,3.3387849999999997,12.506103515625007,16.93725585937501
'01,20.0,150.0,10.0,50.018789999999996,3.144093,-10.589599609374993,47.955322265625
'10,20.0,150.0,10.0,53.81467,3.339458,-21.868896484374996,32.647705078125014
'01,20.0,150.0,20.0,50.018789999999996,3.144093,-9.649658203124995,47.14965820312501
'10,20.0,150.0,20.0,53.81467,3.339458,-21.063232421874996,31.70776367187501
'01,20.0,150.0,40.0,50.018789999999996,3.144093,-6.024169921874994,44.195556640625
'10,20.0,150.0,40.0,53.81467,3.339458,-17.437744140624996,28.08227539062501
'01,20.0,150.0,100.0,50.01871,3.144065,10.223388671875007,43.38989257812501
'10,20.0,150.0,100.0,53.814589999999995,3.3394559999999998,-9.246826171874995,21.234130859375007
'01,20.0,150.0,150.0,50.017959999999995,3.1438129999999997,21.90551757812501,49.029541015625
'10,20.0,150.0,150.0,53.81455,3.3394559999999998,-5.487060546874994,22.845458984375007
'01,40.0,10.0,10.0,16.09375,4.469768,34.93041992187501,14.654541015625009
'10,40.0,10.0,10.0,19.769309999999997,4.735403999999999,27.679443359375007,-0.7873535156249937
'01,40.0,10.0,20.0,16.09376,4.469672999999999,35.870361328125014,13.714599609375007
'10,40.0,10.0,20.0,19.769339999999996,4.735437,28.61938476562501,-1.727294921874994
'01,40.0,10.0,40.0,16.09375,4.469768,39.495849609375014,10.894775390625007
'10,40.0,10.0,40.0,19.769309999999997,4.735403999999999,32.110595703125014,-1.593017578124994
'01,40.0,10.0,100.0,16.093649999999997,4.46974,60.30883789062502,15.460205078125007
'10,40.0,10.0,100.0,19.76921,4.735401,50.77514648437501,8.880615234375009
'01,40.0,10.0,150.0,16.09265,4.469568,78.70483398437501,31.304931640625007
'10,40.0,10.0,150.0,19.76919,4.735563,65.54565429687503,21.234130859375007
'01,40.0,20.0,10.0,19.354539999999997,4.468189,29.69360351562501,15.59448242187501
'10,40.0,20.0,10.0,23.06582,4.735512,21.63696289062501,1.2268066406250067
'01,40.0,20.0,20.0,19.35468,4.467998,30.63354492187501,14.654541015625009
'10,40.0,20.0,20.0,23.06584,4.735739,22.576904296875007,0.28686523437500633
'01,40.0,20.0,40.0,19.354539999999997,4.468189,34.124755859375014,11.834716796875007
'10,40.0,20.0,40.0,23.06582,4.735512,26.20239257812501,-0.3845214843749937
'01,40.0,20.0,100.0,19.35444,4.468159,54.400634765625014,15.997314453125007
'10,40.0,20.0,100.0,23.06573,4.7355089999999995,43.38989257812501,7.940673828125007
'01,40.0,20.0,150.0,19.353689999999997,4.467957,71.45385742187501,30.63354492187501
'10,40.0,20.0,150.0,23.0657,4.7355659999999995,56.14624023437502,18.28002929687501
'01,40.0,40.0,10.0,25.0917,4.466151999999999,21.36840820312501,19.219970703125014
'10,40.0,40.0,10.0,28.857149999999997,4.735822,12.371826171875007,5.255126953125006
'01,40.0,40.0,20.0,25.0917,4.466151999999999,22.308349609375007,18.28002929687501
'10,40.0,40.0,20.0,28.857149999999997,4.735822,13.311767578125007,4.315185546875007
'01,40.0,40.0,40.0,25.0917,4.466151999999999,25.93383789062501,15.460205078125007
'10,40.0,40.0,40.0,28.857149999999997,4.735822,16.93725585937501,2.7038574218750067
'01,40.0,40.0,100.0,25.091609999999996,4.466124,45.13549804687501,18.414306640625007
'10,40.0,40.0,100.0,28.85706,4.7358199999999995,31.70776367187501,7.672119140625007
'01,40.0,40.0,150.0,25.09077,4.465964,60.711669921875014,31.573486328125014
'10,40.0,40.0,150.0,28.856989999999996,4.735759999999999,41.77856445312501,15.59448242187501
'01,40.0,100.0,10.0,39.93884,4.465020999999999,2.8381347656250067,35.736083984375014
'10,40.0,100.0,10.0,43.827679999999994,4.736379,-8.038330078124995,20.29418945312501
'01,40.0,100.0,20.0,39.93884,4.465020999999999,3.778076171875007,34.796142578125014
'10,40.0,100.0,20.0,43.827679999999994,4.736379,-7.098388671874995,19.488525390625014
'01,40.0,100.0,40.0,39.93884,4.465020999999999,7.403564453125007,31.976318359375018
'10,40.0,100.0,40.0,43.827679999999994,4.736379,-3.4729003906249942,15.86303710937501
'01,40.0,100.0,100.0,39.938739999999996,4.464991,24.993896484375007,31.304931640625007
'10,40.0,100.0,100.0,43.8276,4.736376,7.135009765625008,14.117431640625007
'01,40.0,100.0,150.0,39.93795,4.464548,38.28735351562501,39.76440429687501
'10,40.0,100.0,150.0,43.82758,4.7364619999999995,12.908935546875007,17.74291992187501
'01,40.0,150.0,10.0,51.10133999999999,4.465194,-10.052490234374995,47.015380859375014
'10,40.0,150.0,10.0,55.069199999999995,4.736963,-21.868896484374996,31.573486328125014
'01,40.0,150.0,20.0,51.10133999999999,4.465194,-9.112548828124995,46.20971679687501
'10,40.0,150.0,20.0,55.069199999999995,4.736963,-20.928955078125,30.63354492187501
'01,40.0,150.0,40.0,51.10133999999999,4.465194,-5.487060546874994,43.255615234375014
'10,40.0,150.0,40.0,55.069199999999995,4.736963,-17.437744140624996,27.142333984375007
'01,40.0,150.0,100.0,51.10124,4.465164,11.297607421875007,42.584228515625
'10,40.0,150.0,100.0,55.06912,4.73696,-8.978271484374995,22.039794921875007
'01,40.0,150.0,150.0,51.1004,4.464898,23.651123046875007,48.492431640625
'10,40.0,150.0,150.0,55.06908,4.736959,-4.949951171874995,23.78540039062501
'01,60.0,10.0,10.0,17.09805,5.80337,35.333251953125014,13.848876953125007
'10,60.0,10.0,10.0,20.94606,6.144174,27.142333984375007,-0.7873535156249937
'01,60.0,10.0,20.0,17.09806,5.803215,36.273193359375014,12.908935546875007
'10,60.0,10.0,20.0,20.94608,6.1442619999999994,28.08227539062501,-1.727294921874994
'01,60.0,10.0,40.0,17.09805,5.80337,39.76440429687501,10.089111328125009
'10,60.0,10.0,40.0,20.94606,6.144174,31.70776367187501,-1.727294921874994
'01,60.0,10.0,100.0,17.097939999999998,5.803344999999999,60.711669921875014,16.534423828125007
'10,60.0,10.0,100.0,20.94596,6.144171,50.103759765625,8.477783203125009
'01,60.0,10.0,150.0,17.096909999999998,5.803318,79.51049804687501,32.647705078125014
'10,60.0,10.0,150.0,20.94597,6.144373,64.60571289062501,20.56274414062501
'01,60.0,20.0,10.0,20.35851,5.801752,30.09643554687501,14.788818359375009
'10,60.0,20.0,10.0,24.24235,6.144295,21.36840820312501,1.3610839843750064
'01,60.0,20.0,20.0,20.35861,5.801288999999999,31.036376953125014,13.848876953125007
'10,60.0,20.0,20.0,24.24239,6.144496999999999,22.308349609375007,0.4211425781250064
'01,60.0,20.0,40.0,20.35851,5.801752,34.52758789062501,11.029052734375007
'10,60.0,20.0,40.0,24.24235,6.144295,25.799560546875007,-0.3845214843749937
'01,60.0,20.0,100.0,20.35841,5.801724999999999,54.937744140625014,17.20581054687501
'10,60.0,20.0,100.0,24.242259999999998,6.144295,42.85278320312501,7.672119140625007
'01,60.0,20.0,150.0,20.35758,5.801466,72.52807617187501,32.244873046875014
'10,60.0,20.0,150.0,24.24222,6.144443,55.474853515625014,18.01147460937501
'01,60.0,40.0,10.0,26.09525,5.799424999999999,21.771240234375007,18.414306640625007
