transition,cout,cslew,dslew,ctoq,qslew,tsetup,thold
'10,60.0,150.0,150.0,56.50767,6.186131,-3.741455078124994,25.531005859375007
'01,80.0,10.0,10.0,18.33066,7.206669,36.13891601562501,13.043212890625007
'10,80.0,10.0,10.0,22.336239999999997,7.605623999999999,26.873779296875007,-0.5187988281249938
'01,80.0,10.0,20.0,18.33064,7.206639,37.07885742187501,12.103271484375007
'10,80.0,10.0,20.0,22.33626,7.605695000000001,27.81372070312501,-1.3244628906249936
'01,80.0,10.0,40.0,18.33066,7.206669,40.570068359375014,9.283447265625009
'10,80.0,10.0,40.0,22.336239999999997,7.605623999999999,31.439208984375018,-1.458740234374994
'01,80.0,10.0,100.0,18.33054,7.206646999999999,61.785888671875014,18.414306640625007
'10,80.0,10.0,100.0,22.33607,7.605621,49.83520507812501,8.746337890625009
'01,80.0,10.0,150.0,18.32958,7.206219999999999,81.256103515625,35.06469726562501
'10,80.0,10.0,150.0,22.336019999999998,7.6056289999999995,64.337158203125,20.697021484375007
'01,80.0,20.0,10.0,21.590899999999998,7.204757,30.902099609375018,13.983154296875007
'10,80.0,20.0,10.0,25.634829999999997,7.605747999999999,21.234130859375007,1.7639160156250064
'01,80.0,20.0,20.0,21.590819999999997,7.204903999999999,31.842041015625007,13.043212890625007
'10,80.0,20.0,20.0,25.634829999999997,7.605827,22.17407226562501,0.8239746093750063
'01,80.0,20.0,40.0,21.590899999999998,7.204757,35.46752929687501,10.223388671875007
'10,80.0,20.0,40.0,25.634829999999997,7.605747999999999,25.799560546875007,0.018310546875006318
'01,80.0,20.0,100.0,21.59078,7.204732999999999,56.14624023437502,19.219970703125014
'10,80.0,20.0,100.0,25.63467,7.605745,42.85278320312501,8.074951171875007
'01,80.0,20.0,150.0,21.589819999999996,7.2046909999999995,74.40795898437501,34.93041992187501
'10,80.0,20.0,150.0,25.634559999999997,7.605871999999999,55.474853515625014,18.54858398437501
'01,80.0,40.0,10.0,27.327149999999996,7.202745999999999,22.576904296875007,17.608642578125007
